,Date,Sales_Amount,Units_Sold,Product_Category,Product_Name,Revenue,Customer_Rating,Sales_Channel,,,,,,,
2,01/01/2005,"£19,407.00",77,Electronics,Headphones,"£3,529.00",3,Online,,,,,,,
5,01/04/2005,"£14,408.00",53,Electronics,Tablet,"£3,532.00",2,In-Store,,,,,Years,total Sales Amount,Total revenue
14,13/01/2005,"£7,483.00",29,Electronics,Headphones,"£3,541.00",1,Online,,,,,2005,"£1,643,244.00","£505,607.00"
15,14/01/2005,"£13,848.00",84,Electronics,Tablet,"£3,542.00",5,In-Store,,,,,2006,"£1,821,082.00","£608,069.00"
17,16/01/2005,"£16,247.00",95,Electronics,Tablet,"£3,544.00",3,Online,,,,,2007,"£1,581,995.00","£595,185.00"
19,18/01/2005,"£18,085.00",34,Electronics,Headphones,"£3,546.00",5,Online,,,,,2008,"£2,096,323.00","£821,272.00"
27,26/01/2005,"£18,569.00",80,Computers,Laptop,"£3,554.00",5,In-Store,,,,,2009,"£2,162,706.00","£920,912.00"
33,02/01/2005,"£15,949.00",55,Electronics,Tablet,"£3,560.00",4,In-Store,,,,,2010,"£1,843,309.00","£830,823.00"
38,02/06/2005,"£13,232.00",59,Electronics,Headphones,"£3,565.00",4,Online,,,,,2011,"£1,994,784.00","£967,017.00"
41,02/09/2005,"£18,427.00",28,Computers,Laptop,"£3,568.00",2,Online,,,,,2012,"£1,727,947.00","£933,755.00"
42,02/10/2005,"£6,182.00",23,Electronics,Headphones,"£3,569.00",4,In-Store,,,,,2013,"£1,856,091.00","£1,034,206.00"
45,13/02/2005,"£14,808.00",36,Electronics,Tablet,"£3,572.00",1,In-Store,,,,,2014,"£1,904,857.00","£1,077,168.00"
46,14/02/2005,"£10,690.00",41,Computers,Laptop,"£3,573.00",3,In-Store,,,,,2015,"£1,949,121.00","£1,170,421.00"
50,18/02/2005,"£15,470.00",41,Mobile Phones,Smartphone,"£3,577.00",2,In-Store,,,,,2016,"£1,991,958.00","£1,243,626.00"
54,22/02/2005,"£9,117.00",36,Electronics,Headphones,"£3,581.00",3,Online,,,,,2017,"£1,947,513.00","£1,311,755.00"
55,23/02/2005,"£1,188.00",18,Electronics,Headphones,"£3,582.00",4,In-Store,,,,,2018,"£1,857,903.00","£1,326,742.00"
61,03/01/2005,"£11,583.00",54,Electronics,Tablet,"£3,588.00",1,Online,,,,,2019,"£1,905,026.00","£1,482,565.00"
64,03/04/2005,"£18,106.00",17,Mobile Phones,Smartphone,"£3,591.00",4,In-Store,,,,,2020,"£1,993,766.00","£1,444,167.00"
66,03/06/2005,"£18,432.00",69,Computers,Laptop,"£3,593.00",1,In-Store,,,,,2021,"£1,926,587.00","£1,509,624.00"
67,03/07/2005,"£3,735.00",13,Electronics,Headphones,"£3,594.00",3,In-Store,,,,,2022,"£1,639,438.00","£1,437,320.00"
71,03/11/2005,"£7,342.00",21,Electronics,Headphones,"£3,598.00",3,Online,,,,,2023,"£1,818,844.00","£1,667,875.00"
72,03/12/2005,"£3,950.00",15,Mobile Phones,Smartphone,"£3,599.00",4,In-Store,,,,,2024,"£1,994,353.00","£1,777,291.00"
77,17/03/2005,"£16,031.00",85,Computers,Laptop,"£3,604.00",2,Online,,,,,,,
82,22/03/2005,"£15,265.00",20,Mobile Phones,Smartphone,"£3,609.00",2,In-Store,,,,,,,
84,24/03/2005,"£15,725.00",31,Computers,Laptop,"£3,611.00",5,In-Store,,,,,,,
85,25/03/2005,"£8,576.00",33,Electronics,Headphones,"£3,612.00",1,In-Store,,,,,,,
86,26/03/2005,"£1,365.00",25,Mobile Phones,Smartphone,"£3,613.00",1,Online,,,,rating,frequency,,
88,28/03/2005,"£17,418.00",17,Computers,Laptop,"£3,615.00",3,Online,,,,1,510,,
89,29/03/2005,"£14,421.00",69,Electronics,Headphones,"£3,616.00",3,Online,,,,2,503,,
90,30/03/2005,"£13,985.00",47,Electronics,Tablet,"£3,617.00",2,In-Store,,,,3,1082,,
93,04/02/2005,"£12,233.00",32,Mobile Phones,Smartphone,"£3,620.00",5,In-Store,,,,4,530,,
98,04/07/2005,"£4,130.00",19,Electronics,Headphones,"£3,625.00",5,In-Store,,,,5,513,,
101,04/10/2005,"£17,639.00",60,Electronics,Tablet,"£3,628.00",5,In-Store,,,,,,,
103,04/12/2005,"£3,832.00",8,Computers,Laptop,"£3,630.00",2,In-Store,,,,,,,
105,14/04/2005,"£12,673.00",44,Computers,Laptop,"£3,632.00",5,Online,,,,,,,
109,18/04/2005,"£5,778.00",19,Mobile Phones,Smartphone,"£3,636.00",4,In-Store,,,,,,,
111,20/04/2005,"£14,164.00",84,Electronics,Headphones,"£3,638.00",2,In-Store,,,,,,,
112,21/04/2005,"£7,481.00",26,Electronics,Headphones,"£3,639.00",1,Online,,,,,,,
116,25/04/2005,"£14,476.00",17,Computers,Laptop,"£3,643.00",3,In-Store,,,,,,,
118,27/04/2005,"£8,445.00",30,Computers,Laptop,"£3,645.00",3,Online,,,,,,,
120,29/04/2005,"£14,291.00",52,Computers,Laptop,"£3,647.00",4,Online,,,,,,,
125,05/04/2005,"£14,438.00",83,Electronics,Tablet,"£3,652.00",4,In-Store,,,,,,,
127,05/06/2005,"£14,275.00",86,Electronics,Tablet,"£3,654.00",2,Online,,,,,,,
131,05/10/2005,"£8,406.00",1,Electronics,Headphones,"£3,658.00",2,Online,,,,,,,
132,05/11/2005,"£15,277.00",94,Electronics,Headphones,"£3,659.00",3,In-Store,,,,,,,
136,15/05/2005,"£10,142.00",95,Mobile Phones,Smartphone,"£3,663.00",4,In-Store,,,,,,,
139,18/05/2005,"£16,945.00",50,Mobile Phones,Smartphone,"£3,666.00",3,Online,,,,,,,
146,25/05/2005,"£12,243.00",63,Mobile Phones,Smartphone,"£3,673.00",3,Online,,,,,,,
147,26/05/2005,"£12,788.00",50,Mobile Phones,Smartphone,"£3,674.00",3,Online,,,,,,,
